feature SRR28380565 SRR28380566 SRR28380568 SRR28380570 SRR28380572 SRR28380573 SRR28380580 SRR28380582 SRR28380584 SRR28380586 SRR28380588 SRR28380589
ENSG00000000003 0 0 5 0 0 1 0 2 2 1 0 1
ENSG00000000005 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000000419 1207 1885 1501 1535 832 1002 1410 1370 1122 1234 954 488
ENSG00000000457 702 726 823 1175 620 690 656 729 1018 1345 495 773
ENSG00000000460 70 64 103 128 91 80 55 70 121 138 55 46
ENSG00000000938 20342 45609 81968 44188 25032 28710 17354 36541 19381 18132 18277 22895
ENSG00000000971 0 0 5 2 2 0 3 7 3 15 2 22
ENSG00000001036 76 287 273 242 59 66 206 173 200 109 78 182
ENSG00000001084 64 153 125 160 63 88 117 141 152 139 70 126
ENSG00000001167 3910 5217 5125 6035 4542 4485 4020 4980 5466 4382 3170 2462
ENSG00000001460 16 17 24 45 11 11 8 17 15 15 4 21
ENSG00000001461 95 311 246 277 114 111 115 216 195 227 153 147
ENSG00000001497 83 365 425 245 95 108 128 227 124 99 122 162
ENSG00000001561 50 56 64 115 46 49 114 72 82 147 33 164
ENSG00000001617 0 0 6 1 2 1 4 4 4 1 2 1
ENSG00000001626 0 0 0 0 0 2 0 0 0 0 0 0
ENSG00000001629 395 354 326 686 335 531 447 336 588 713 271 513
ENSG00000001630 2 2 4 4 3 7 3 0 2 5 3 2
ENSG00000001631 35 70 39 75 40 67 48 100 85 85 47 59
ENSG00000002016 40 73 156 95 45 59 31 80 57 85 38 81
ENSG00000002079 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000002330 128 556 408 258 181 133 82 180 145 173 129 140
ENSG00000002549 2189 835 1287 826 470 956 11919 4317 8017 2528 3989 5000
ENSG00000002586 123 1174 833 315 106 189 380 640 322 422 353 415
ENSG00000002587 0 1 0 1 0 1 0 1 1 2 0 0
ENSG00000002726 109 77 377 238 204 319 149 3 4 406 100 72
ENSG00000002745 1 2 0 1 0 0 1 0 0 0 0 0
ENSG00000002746 0 0 1 0 0 2 1 0 0 0 0 0
ENSG00000002822 92 50 29 12 5 5 14 26 26 19 10 17
ENSG00000002834 15922 29908 33931 28460 17127 17461 15635 25279 14570 12908 16263 12696
ENSG00000002919 2111 3080 4909 3443 1559 2077 1392 3404 2345 2262 1993 2118
ENSG00000002933 2 59 88 72 27 67 100 9 32 28 43 2
ENSG00000003056 771 1076 1930 1327 561 662 969 1163 786 955 662 808
ENSG00000003096 2 8 3 5 0 0 5 3 4 5 2 0
ENSG00000003137 0 0 0 0 0 0 0 0 0 0 0 1
ENSG00000003147 71 105 236 236 56 52 69 68 101 67 77 158
ENSG00000003249 4 9 8 7 1 4 1 10 2 7 1 4
ENSG00000003393 312 492 344 437 263 346 264 445 375 374 249 214
ENSG00000003400 440 646 944 1061 669 545 803 998 1149 1204 863 1815
ENSG00000003402 25890 32606 48085 56190 42301 39842 23191 43666 41557 48688 30637 35195
ENSG00000003436 0 2 0 1 1 0 1 2 3 5 0 0
ENSG00000003509 160 344 344 341 148 187 172 271 175 158 124 224
ENSG00000003756 4511 7128 10608 8385 4908 5245 3698 8055 5894 6368 4297 5547
ENSG00000003987 6 7 6 5 5 0 10 7 9 4 3 5
ENSG00000003989 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000004059 1888 4695 5709 2764 1948 1734 1482 3292 1506 1762 1679 1366
ENSG00000004139 41 156 158 121 67 84 64 136 117 165 75 97
ENSG00000004142 594 1456 1781 1187 602 793 713 1048 728 785 625 719
ENSG00000004399 31 441 449 295 66 105 186 242 256 216 113 318
ENSG00000004455 480 1155 1664 1243 465 623 584 1135 729 592 528 771
ENSG00000004468 108 194 120 301 203 182 136 209 408 401 102 299
ENSG00000004478 73 282 375 186 69 97 114 218 122 122 77 105
ENSG00000004487 74 378 391 282 80 107 149 287 167 169 113 138
ENSG00000004534 1468 2351 3037 3506 1250 1607 681 2476 1125 1660 1216 1389
ENSG00000004660 977 2006 2596 2304 1019 1470 847 2021 717 700 513 628
ENSG00000004700 466 671 674 641 332 442 451 528 592 776 404 490
ENSG00000004766 58 122 90 134 29 80 77 88 83 95 64 88
ENSG00000004776 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000004777 23 196 186 140 100 38 25 106 61 57 40 145
ENSG00000004779 51 281 208 132 38 41 97 141 77 59 88 55
ENSG00000004799 92 313 425 199 57 53 274 46 86 139 70 77
ENSG00000004809 2 17 23 21 1 2 2 17 4 6 3 20
ENSG00000004838 23 46 125 49 38 25 16 76 23 47 41 12
ENSG00000004846 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000004848 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000004864 162 239 263 278 140 164 214 276 193 273 147 142
ENSG00000004866 11 42 46 34 9 17 22 49 15 18 10 15
ENSG00000004897 757 680 582 1195 608 715 796 766 1285 1342 568 898
ENSG00000004939 6 95 369 38 3 2 28 33 66 26 17 26
